Waktu aktual	Actual time
Waktu ISP / Provider	ISP / provider time
Tidak tersedia	Unavailable
Sumber Waktu	Time source
Kalibrasi Gedung	Building calibration
Memuat sumber waktu...	Loading time sources...
Tanggal Masehi	Gregorian date
Tanggal Islam	Islamic date
Mode lokal	Local mode
Informasi terjadwal	Scheduled information
Media overlay	Overlay media
Konteks waktu sholat	Prayer time context
Komponen informasi tambahan	Additional information components
Informasi yang tetap terlihat	Persistent information
Konten tambahan bertumpuk	Stacked additional content
Sistem Pengelolaan dan Pembelajaran Teks Islam	Islamic Text Data Management & Learning System
Reader lokal, sumber transparan, sinkronisasi bertahap, dan tetap dapat digunakan tanpa koneksi internet.	Local reader, transparent sources, incremental synchronization, and offline access.
Pencarian sumber Islam	Islamic source search
Cari Qur'an, Tafsir, Hadith, atau materi belajar	Search Qur'an, Tafsir, Hadith, or learning material
Contoh: cara membaca tasydid	Example: how to read shaddah
Cari	Search
Mode pencarian	Search mode
Mode:	Mode:
Cerdas	Smart
Persis	Exact
Filter	Filter
Sumber	Source
Semua	All
Hadis	Hadith
Bahasa	Language
Otomatis	Automatic
Arab	Arabic
Koleksi hadis	Hadith collection
Penulis/karya tafsir	Tafsir author/work
Penilaian hadis	Hadith grading
Ada penilaian Sahih	Has a Sahih grading
Ada penilaian Hasan	Has a Hasan grading
Ada penilaian Hasan-Sahih	Has a Hasan-Sahih grading
Ada penilaian Daif	Has a Daif grading
Ada penilaian sangat daif	Has a very weak grading
Ada penilaian Munkar	Has a Munkar grading
Ada penilaian Mawdu'	Has a Mawdu' grading
Ada penilaian Batil	Has a Batil grading
Ada penilaian Syadz	Has a Shadh grading
Penilaian saling bertentangan	Conflicting gradings
Rujukan grading belum langsung terverifikasi	Direct grading reference not yet verified
Belum ada penilaian derajat per record	No grading recorded for this record
Materi & overlay	Materials & overlays
Layar utama	Main display
Profil dan progres pembaca	Reader profiles and progress
Pilih profil pembaca	Select reader profile
Pengguna pada perangkat ini	Users on this device
Memuat profil…	Loading profiles…
Tambah pengguna	Add user
Nama & foto	Name & photo
Kelola pengguna	Manage users
Sinkronkan	Synchronize
Centang dan catatan bacaan disimpan terpisah untuk setiap pengguna.	Reading checkmarks and notes are stored separately for each user.
Status database	Database status
Memuat	Loading
Memeriksa database lokal…	Checking local database…
Jaringan: memeriksa	Network: checking
Sinkron terakhir: —	Last sync: —
Ukuran: —	Size: —
Muat ulang	Reload
Bagian Islamic Text System	Islamic Text System sections
Presentasi Ibadah	Worship presentations
Materi Ibadah	Worship materials
Pembaruan otomatis	Auto Update
Sumber & Sinkronisasi	Sources & Sync
Pengaturan Qur'an reader	Qur'an reader settings
